model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
llama,F09_R,F09,routine,3.0,742.3333333333334,0.9317645074224022,0.1632468452056249,-3.2362576172703883,0.007459581362470455
llama,F10_A,F10,ambiguous,4.0,2510.3333333333335,0.8316871004718637,0.244964008529981,,0.5311844229943803
llama,F10_N,F10,nonroutine,4.0,2509.0,0.8607821031170088,0.29158655802408856,2.532215804094005,0.7491405416196523
llama,F10_R,F10,routine,4.0,1526.0,0.823471520841252,0.16666998962561289,-2.7505798738500253,0.025530598116184387
llama,F11_A,F11,ambiguous,4.0,2147.6666666666665,0.8870829326714832,0.23507827520370483,,0.13686568669840052
llama,F11_N,F11,nonroutine,4.0,2449.0,0.8724567533277124,0.2185968061288198,1.8020831698724955,0.36551733263886693
llama,F11_R,F11,routine,4.0,2469.6666666666665,0.8149349244572788,0.21296555797259012,-2.2740999713344836,0.004533947979606087
llama,F12_A,F12,ambiguous,4.0,2410.0,0.7092113896115216,0.2035427689552307,,0.6648656966561389
llama,F12_N,F12,nonroutine,4.0,2466.0,0.7982096128720984,0.25675586859385174,3.2216660516426963,0.8301591762090189
llama,F12_R,F12,routine,4.0,2423.3333333333335,0.8310014527343826,0.21444032589594522,-2.1837612804728197,0.01031127517892533
llama,F13_A,F13,ambiguous,4.0,2489.0,0.8604691496783197,0.21228791773319244,,0.04020828992650094
llama,F13_N,F13,nonroutine,4.0,2617.6666666666665,0.7905717754786671,0.26542667547861737,1.4578193373047048,0.4803531887006514
